"Polling_firm","PollDate","LPC","CPC","NDP","BQ","GPC","SampleSize","LPC_moe","CPC_moe","NDP_moe","BQ_moe","GPC_moe","NumDays","pollster_id"
"Nanos Research",2019-04-18,0.33,0.355,0.152,0.047,0.084,1000,0.0148694317309035,0.0151319199046255,0.0113532374237483,0.00669260786241059,0.00877177291087725,1278,13
"Nanos Research",2019-04-12,0.341,0.35,0.149,0.045,0.088,1000,0.0149906304070243,0.0150831031289984,0.0112605062053178,0.00655553201502365,0.00895857131466843,1272,13
"Innovative Research",2019-04-10,0.36,0.32,0.13,0.04,0.1,2527,0.00954857616023311,0.00927954804243098,0.00669003949264413,0.00389818989377916,0.00596786010014569,1270,8
"Forum Research",2019-04-06,0.29,0.42,0.12,0.06,0.09,1634,0.0112254083187056,0.012209914305348,0.00803907227150845,0.00587507649888995,0.00707971743933385,1266,7
"Campaign Research",2019-04-06,0.32,0.34,0.15,0.05,0.1,2035,0.0103406357120221,0.0105009652066022,0.00791540034701737,0.00483130658740711,0.00665026647782209,1266,3
"Nanos Research",2019-04-05,0.328,0.349,0.166,0.04,0.095,1000,0.0148464137083674,0.0150731217735411,0.0117662228433767,0.00619677335393187,0.00927227048785787,1265,13
"Nanos Research",2019-03-29,0.346,0.351,0.166,0.044,0.081,1000,0.0150427391122761,0.0150930116279025,0.0117662228433767,0.00648567652600714,0.00862780389206894,1258,13
"Ipsos",2019-03-27,0.3,0.4,0.21,0.05,NA,1002,0.0144769070703432,0.0154764646506827,0.0128673564602621,0.00688514267250567,NA,1256,10
"Mainstreet Research",2019-03-25,0.35,0.374,0.116,0.031,0.079,8501,0.00517315739793676,0.00524792910685718,0.00347312264005153,0.00187978304179016,0.0029255555756848,1254,12
"Angus Reid",2019-03-25,0.28,0.37,0.17,0.05,0.08,5807,0.00589208971406185,0.00633570902786953,0.0049293265990215,0.00286003199641062,0.00356010653391233,1254,2
"Nanos Research",2019-03-22,0.325,0.346,0.194,0.039,0.083,1000,0.0148113132435986,0.0150427391122761,0.0125045591685593,0.00612200947402076,0.00872416185085994,1251,13
"Forum Research",2019-03-20,0.35,0.41,0.14,0.01,0.06,1490,0.0123565595437561,0.0127416244368052,0.00898918067053482,0.00257765306083139,0.0061524262688218,1249,7
"Leger",2019-03-20,0.31,0.37,0.14,0.04,0.1,1513,0.0118901115279904,0.0124122831089291,0.0089205941135701,0.00503786062295415,0.00771261745093591,1249,11
"Nanos Research",2019-03-15,0.326,0.355,0.199,0.032,0.077,1000,0.0148230900961979,0.0151319199046255,0.0126253316788115,0.00556560868189635,0.00843036179532053,1244,13
"Abacus Data",2019-03-10,0.32,0.34,0.16,0.04,0.11,900,0.0155492050529208,0.015790292376436,0.0122202018532156,0.00653197264742181,0.0104296585647747,1239,1
"Campaign Research",2019-03-10,0.3,0.36,0.16,0.04,0.1,1893,0.0105325696661257,0.0110322966302667,0.00842605573290054,0.0045039162391966,0.00689518539391667,1239,3
"Abacus Data",2019-03-09,0.31,0.35,0.16,0.04,0.11,900,0.0154164414397962,0.0158989866902824,0.0122202018532156,0.00653197264742181,0.0104296585647747,1238,1
"Abacus Data",2019-03-08,0.31,0.36,0.15,0.05,0.1,900,0.0154164414397962,0.016,0.0119023807142381,0.00726483157256779,0.01,1237,1
"Nanos Research",2019-03-08,0.329,0.361,0.179,0.036,0.083,1000,0.0148579608291313,0.0151881203577006,0.0121226647235663,0.00589101010014412,0.00872416185085994,1237,13
"Abacus Data",2019-03-07,0.33,0.34,0.16,0.04,0.1,900,0.0156737572606783,0.015790292376436,0.0122202018532156,0.00653197264742181,0.01,1236,1
"Abacus Data",2019-03-06,0.32,0.34,0.18,0.04,0.09,900,0.0155492050529208,0.015790292376436,0.0128062484748657,0.00653197264742181,0.00953939201416946,1235,1
"Abacus Data",2019-03-05,0.31,0.35,0.17,0.04,0.09,900,0.0154164414397962,0.0158989866902824,0.0125210933139953,0.00653197264742181,0.00953939201416946,1234,1
"Innovative Research",2019-03-04,0.36,0.32,0.13,0.05,0.09,2122,0.0104200198812722,0.0101264391118383,0.00730060098490601,0.00473123058876564,0.00621254090268092,1233,8
"Ipsos",2019-03-04,0.31,0.4,0.2,0.04,0.04,1000,0.0146253205093085,0.0154919333848297,0.0126491106406735,0.00619677335393187,0.00619677335393187,1233,10
"Abacus Data",2019-03-04,0.3,0.36,0.17,0.05,0.09,1500,0.0118321595661992,0.0123935467078637,0.00969879717628257,0.00562731433871138,0.00738918128076447,1233,1
"Nanos Research",2019-03-01,0.342,0.347,0.155,0.036,0.091,1000,0.0150011999520038,0.0150529399121899,0.0114444309600784,0.00589101010014412,0.00909499862561837,1230,13
"Forum Research",2019-02-28,0.33,0.42,0.12,0.03,0.05,1301,0.013036341328549,0.0136835881319932,0.00900934692706788,0.00472941959281028,0.00604238170205747,1229,7
"Abacus Data",2019-02-26,0.32,0.33,0.17,0.04,0.09,2374,0.00957390443689549,0.00965059330493835,0.00770944562282457,0.00402184431281164,0.0058735624888159,1227,1
"Angus Reid",2019-02-24,0.31,0.38,0.14,0.05,0.08,1009,0.0145599475053236,0.0152806581461527,0.0109236470746403,0.00686121805376915,0.00854069718607224,1225,2
"Nanos Research",2019-02-22,0.357,0.336,0.15,0.037,0.084,1000,0.0151509405648626,0.0149366662947259,0.0112915897906362,0.00596917079668525,0.00877177291087725,1223,13
"Leger",2019-02-19,0.34,0.36,0.12,0.05,0.08,1529,0.0121145610703838,0.0122754520629015,0.00831052033277332,0.00557369323213185,0.00693801388188617,1220,11
"Ipsos",2019-02-18,0.34,0.36,0.17,0.06,NA,1002,0.0149650290948058,0.0151637765665575,0.0118666913364026,0.00750249459511305,NA,1219,10
"Nanos Research",2019-02-15,0.379,0.318,0.137,0.041,0.078,1000,0.0153414145371279,0.0147267104269759,0.0108734079294396,0.00627048642451285,0.00848033018225116,1216,13
"Abacus Data",2019-02-11,0.33,0.35,0.15,0.04,0.09,2500,0.009404254356407,0.00953939201416946,0.00714142842854285,0.00391918358845308,0.00572363520850167,1212,1
"Campaign Research",2019-02-11,0.32,0.37,0.14,0.05,0.07,1590,0.0116985189623281,0.0121080045253091,0.00870191188419255,0.00546573086023068,0.00639870269870503,1212,3
"Nanos Research",2019-02-08,0.375,0.344,0.13,0.038,0.074,1000,0.0153093108923949,0.0150221170279026,0.0106348483769163,0.00604615580348373,0.00827792244467173,1209,13
"Abacus Data",2019-02-05,0.34,0.34,0.17,0.04,0.08,2500,0.00947417542586161,0.00947417542586161,0.00751265598839718,0.00391918358845308,0.00542586398650021,1206,1
"Nanos Research",2019-02-01,0.376,0.359,0.132,0.031,0.079,1000,0.015317441039547,0.0151696736945789,0.0107040179372047,0.00548078461536302,0.00852988862764339,1202,13
"Nanos Research",2019-01-25,0.376,0.366,0.128,0.03,0.081,1000,0.015317441039547,0.0152329905140127,0.0105648473723003,0.00539444158370447,0.00862780389206894,1195,13
"Innovative Research",2019-01-24,0.38,0.32,0.12,0.05,0.08,2451,0.0098042863589224,0.00942231870397525,0.00656387502351754,0.00440225453162812,0.00547983209336945,1194,8
"Mainstreet Research",2019-01-18,0.372,0.351,0.115,0.032,0.072,7941,0.00542392522679709,0.00535597213177854,0.00357999943015489,0.00197503624402655,0.00290069882022187,1188,12
"Nanos Research",2019-01-18,0.372,0.361,0.142,0.032,0.074,1000,0.0152845019545944,0.0151881203577006,0.0110379345894058,0.00556560868189635,0.00827792244467173,1188,13
"Nanos Research",2019-01-11,0.381,0.339,0.154,0.033,0.069,1000,0.0153570504980611,0.0149692685192029,0.0114142016803629,0.00564898220921256,0.00801492358042171,1181,13
"Innovative Research",2019-01-07,0.36,0.33,0.15,0.05,0.08,2700,0.00923760430703401,0.00904924797366548,0.00687184270936277,0.00419435246403931,0.00522104005532032,1177,8
"Nanos Research",2019-01-04,0.387,0.333,0.167,0.03,0.06,1000,0.015402305022301,0.0149033888763596,0.01179453263169,0.00539444158370447,0.00750999334220743,1174,13
"Nanos Research",2018-12-28,0.368,0.344,0.161,0.034,0.064,1000,0.0152504426165276,0.0150221170279026,0.0116223491601311,0.00573096850453743,0.00773976743836661,1167,13
"Nanos Research",2018-12-21,0.352,0.341,0.16,0.038,0.07,1000,0.0151028474136502,0.0149906304070243,0.0115931013969515,0.00604615580348373,0.00806845710157772,1160,13
